English,Malay
aggregate,v.t.i. mengumpulkan; menyatukan; (colloq.) menjumlah- kan. aggregation n. pengumpulan.
aggression,n. penyerangan; pencero- bohan; serangan; tindak-tanduk atau tingkah laku permusuhan.
aggressive,a. suka menyerang; garang. aggressively adv. yang bersifat menyerang. aggressiveness a. hal suka menyerang.
aggressor,n. penyerang; seseorang yang memulakan perseteruan.
aggrieved,a. terkilan; menanggung perasaan tersinggung.
aghast,a. terkejut; tergamam.
agile,a. tangkas; pantas. agilely adv. dengan tangkas. agility n. ketangkasan.
agitate,v.t. menghasut; mengocak dengan cepat. agitation n. hasutan.
agitator,n. penghasut.
aglow,a. berseri: bercahaya atau ber- sinar-sinar.
agnostic,a. & n. syirik; agnostik; (orang) mempercayai tidak ada sesua- tu pun yang menunjukkan kewujudan Tuhan. agnosticism a. agnostisisme; faham agnostik.
ago,"adv. dahulu; lepas; pada masa lain, agog a. sangat ingin; berharapan."
agonize,v.t.i. menyakiti; menyeksa; berasa sangat bimbang.
agonizing,a. amat menyeksa atau membimbangkan.
agony,n. keazaban.
agoraphobia,n. agorafobia; perasaan gerun hendak melintasi tempat lapang.
agrarian,a. agraria; berkenaan dengan tanah atau pertanian.
agree,v.t.i. bersetuju; akur; menerima sebagai betul atau munasabah; mem- punyai atau mencapai pendapat yang sama; mesra bersama. agree with sesuai dengan; secocok dengan.
agreeable,a. menyenangkan; dapat diterima. agreeably adv. dengan senang hati.
agreement,n. persetujuan; kemua- fakatan.
agriculture,n. pertanian; pengusahaan tanaman secara besar-besaran. agricultural a. berkenaan dengan pertanian.
agronomy,"n. agronomi, pengurusan tanah dan penghasilan tanaman."
aground,adv. & a. terkandas; (kapal) di dasar air cetek.
ague,i. (usang) demam menggigil.
ahead,adv. dahulu; maju; terkehadapan dari segi kedudukan atau waktu.
ahoy,int. ahoi; seruan kelasi untuk menarik perhatian.
aid,v.t. & n. membantu; bantuan. aide n. pembantu; penolong.
aidedecamp,n. (pl. aides-de-camp) adikong: pegawai yang membantu seseorang pegawai kanan.
Aids,"AIDS n. Aids, AIDS, sindrom kekurangan daya tahan penyakit; suatu keadaan yang merobohkan benteng pertahanan semula jadi seseorang terhadap penyakit."
aikido,n. seni mempertahankan diri yang berasal dari Jepun.
ail,v.t.i. mendukakan; menyakitkan; menjadikan atau menjadi sakit.
aileron,aileron; kelepak berengsel pada kepak pesawat udara.
ailing,a. sakit; uzui.
ailment,a. penyakit; sakit yang ringan. aim v.t.i. membidik; menghaiakan;
mencuba,bercita-cita. -n. bertujuan; niat.
aimless,a. tidak bertujuan. aimlessly adv. dengan tidak bertujuan. aimlessness a. tanpa tujuan.
aint,"(colloq.) tidak, tiada. dsb."
air,"n. udara; angin; campuran oksigen, nitrogen, dll. gas yang menyelubungi muka bumi; angkasa tempat pesawat udara berlegar; bayu; kesan yang dihasilkan; cara bergaya; melodi. - v.t.i. mendedahkan kepada udara; memperanginkan; menge- mukakan pendapat secara terbuka. air bed n. tilam angin; tilam yang boleh mengembang. air brick n. bata angin; bata berlubang untuk peng- udaraan. air conditioned a. berhawa dingin; dilengkapi sistem penyaman udara yang mengawal kelembapan dan suhu udara. air force tentera udara; cawangan angkatan tentera yang menggunakan pesawat udara dalam serangan dan pertahanan. air raid serangan udara; serangan oleh pesawat udara yang menggugurkan bom. in the air lazim; tersebar luas. on the air sedang di udara; disiarkan melalui radio atau televisyen."
airborne,a. yang dibawa oleh udara atau dengan kapal terbang; dalam penerbangan.
aircraft,n. (pl. aircraft) pesawat udara; mesin atau struktur yang boleh terbang di udara.
airfield,"n. lapangan terbang, kawasan yang mempunyai landasan, dsb. untuk kapal terbang."
airgun,n. senapang angin. senapang yang mempunyai peluru yang dido- rongkan oleh udara mampat.
airlift,"a. angkut udara; pengangkutan bekalan, dsb. secara besar-besaran oleh pesawat udara terutamanya dalam kecemasan. -v.t. mengangkut sedemikian."
airline,n. sistem penerbangan; per- khidmatan pengangkutan udara untuk orang awam; syarikat yang menyedia- kan perkhidmatan ini.
airliner,n. kapal terbang penumpang. airlock n. sendat udara; gelembung udara dalam paip yang menyebabkan terhentinya pengaliran cecair; petak yang tidak dapat dimasuki angin.
airmail,a. pos udara; mel yang dikirim dengan kapal terbang. -v.t. meng- hantar dengan pos udara.
airman,"n. (pl. -men) juruterbang; ang- gota angkatan tentera udara, terutama- nya bawah pangkat pegawai."
airport,n. lapangan terbang dengan kemudahan untuk penurnpang dan barang.
airship,n. kapal udara; pcsawat udara berkuasa tinggi yang lebih ringan daripada udara.
airstrip,n. padang terbang; lapangan terbang kecil untuk kapal terbang ber- lepas dan mendarat.
airtight,a. kedap udara; yang tidak dapat dimasuki angin.
airworthy,"a. yang layak terbang, airworthiness n. kelayakan untuk terbang."
airy,"a. (-ier, -iest) berangin; tidak ber- sungguh-sungguh. airily adv. dengan senang hati. airiness n. kesenangan hati."
aisle,n. lorong antara susunan kerusi (terutama dalam gereja); laluan.
ajar,adv. & a. terbuka sedikit; renggang. aka abbr. also known as juga disebut sebagai atau dikenali sebagai.
akimbo,adv. dengan bercekak pinggang.
akin,a. bersaudara; sejenis; serupa dengan.
alabaster,n. batu pualam putih.
a,la carte (hidangan) dipesan secara berasingan daripada menu.
alacrity,n. beria-ia.
alarm,n. bunyi amaran; alat pembunyi; tanda amaran; kecemasan. -v.t. menyebabkan menjadi takut. alarmclock jam loceng.
alarmist,n. orang yang menimbulkan kecemasan yang tidak berasas.
alas,bit. aduhai; wahai.
albatross,n. sejenis burung camar di Lautan Pasifik.
albeit,conj. sungguhpun; meskipun.
albino,"n. (pl. -os) balar; bulai (tentang orang, binatang)."
album,"H. album; buku menyimpan (folo, setem, dll.); tempat menyimpan piling hi tarn."
albumen,n. albumen; putih telur.
alchemy,n. ilmu kimia zaman per- tengahan yang mencuba mengubah logam menjadi emas. alchemist n. ahli kimia zaman pertengahan yang tujuan utamanya mencari jalan mengubah logam menjadi emas.
alcohol,a. alkohol; arak.
alcoholic,a. beralkohol. -n. penagih arak. alcoholism n. tindakan alkohol ke atas sistem manusia.
alcove,n. ruang kecil tempat berehat; ceruk; sudut.
alder,n. sejenis tumbuhan yang tumbuh di tempat berpaya.
aiderman,n. seorang ahli mukim atau majlis pentadbiran daerah di England.
ale,n. bir.
alert,a. awas; berjaga-jaga. -n. keadaan berwaspada terhadap bah ay a. -v.t. menyuruh berjaga-jaga. on the alert berwaspada. alertness n. kewas- padaan.
A,level n. (di England kecuali Scotland) peringkat yang lebih tinggi di antara dua peringkat utama dalam peperiksaan GCE.
alfalfa,n. sejenis tumbuhan yang digunakan sebagai makanan binatang ternakan.
alfresco,adv. & a. di tempat terbuka. alga n. (pl. -gae) nimpair.
algebra,"n. aljabar; algebra, algebraic a. berkenaan algebra, algebraically adv. dengan cara algebra."
Algol,n. algil; bahasa komputer ber- asaskan matematik.
algorithm,"n. algoritma; prosedur pengiraan, dsb."
alias,n. (pl. -ases) nama samaran. -adv. dengan nama samaran.
alibi,"n. (pl. -is) alibi; bukti bahawa tertuduh berada di tempat lain semasa kejadian jenayah itu. -v.t. (p.t. alibied, pres.p. alibiing) memberikan alasan."
alien,n. orang asing. -a. asing.
alienate,v.t. merenggangkan. aliena- tion n. perenggangan; pengasingan.
alight,v.i. turun; hinggap.
alight,a. bernyala.
align,v.t. menjajarkan; memberikan persetujuan. alignment n. susunan (barisan) yang lurus.
alike,a. serupa. -adv. dengan cara yang sama.
alimentary,a. cerna. alimentary canal saluran pencemaan.
alimony,"n. alimoni, nafkah oleh suami kepada isteri atau bekas isteri."
alive,n. hidup; berjiwa; cergas.
alkali,"n. (pl. -is) alkali, alkaline a. tentang alkali, alkalinity n. kealka- lian."
alkaloid,n alkaloid; sejenis sebatian organik yang mengandungi oksigen. all a. semua; seluruh. -n. segala- galanya. -adv. serba. all but hampir- hampir. all-clear n. isyaiat yang bahaya telah berlalu. all in kelelahan;
termasuk,"semuanya. all out berusaha sedaya upaya. all over berakhir; di merata-rata. ail right baik; selamat; ya. all round a. da lam segala segi; untuk setiap orang, all-round umum- nya. all-rounder n. orang yang serba boleh. all there siuman. all the same meskipun. all up (1'0110(1.) selesai."
Allah,"n. Allah, Tuhan orang Muslim, allay v.t. menenangkan (perasaan takut, dll.)."
allegation,n. tuduhan. allege v.t. menuduh.
allegedly,adv. menurut tuduhan.
allegiance,n. kesetiaan; kewajipan;
allegorize,v.t. mengalegorikan. allegorization n. kealegorisasian.
allegory,n. alegori; kiasan; ibarat. allegorical a. yang bersifat kiasan. allegorically adv. dengan cara kiasan.
allegro,"adv. & n. (pl. -os) alegro, rangkap yang perlu dimainkan dengan cepat."
alleluia,int. & n. kesvukuran.
allergen,n. alergen; bahan penyebab tindakan alergi. allergenic a. mengan- dungi alergen.
allergic,a. alergi; alah; tidak suka akan.
allergy,"n. alergi; alahan (terhadap jenis makanan, debunga, dsb.)."
alleviate,"v.t. meringankan (sakit, dsb.); mengurangkan. alleviation n. peringanan."
alley,n. (pl. -eys) lorong.
alliance,n. persekutuan; perikatan. allied a. bersekutu; bergabung.
alligator,"n. aligator; sejenis buaya. alliteration n. aliterasi; terdapat bunyi awal perkataan bersebelahan yang sama, alliterative a. beraliterasi."
allocate,v.t. memperuntukkan. allocation n. pemberian bahagian; per- untukan.
allot,v.t. (p.t. allotted) menguntukkan; menentukan bahagian.
allotment,"n. habuan; bahagian yang diberikan; sebidang tanah yang disewa untuk menanam sayur, dsbnya."
allow,v.t.i. membenarkan; memberi sebahagian kecil; mengakui; menye- tujui.
allowable,a. dapat dibenarkan.
allowance,n. elaun; jumlah yang dibenarkan. make allowance for mengambil kira; mempertimbangkan.
alloy,n. aloi; logam campuran. -v.t. mencampurkan dengan logam lain.
allspice,n. beri pimento; rcinpah daripada beri pimento.
allude,v.i. merujuk sepintas laiu atau secara tidak langsung.
allure,v.t. menggoda; menarik minat; memikat. -n. kecantikan. allurement n. godaan; pemikat hali.
alluring,a. bersifat menarik atau menawan.
allusion,n. bayangan; sindiran; kiasan. allusive a. yang mengandungi sindiran.
alluvium,n. aluvium; endapan tinggal- an banjir. alluvial a. yang mengandungi aluvium.
ally,n. sekutu gabungan; negeri atau orang yang bersekutu dengan pihak lain.
ally,v.. bergabung; masuk menjadi sekutu.
Alma,"mater n. sekolah, kolej atau universiti yang pernah dihadiri."
almanac,n. almanak; takwim; kalendar yang mengandungi data astronomi dan lain-lain.
almighty,a. maha kuasa; (colloq.) sangat besar. the Almighty Tuhan.
almond,n. badam; pohon atau buah badam.
almost,adv. hampir; terlalu sedikit kurangnya daripada sesuatu yang boleh dicapai.
alms,"ri. sedekah; derma; wang, dsb. yang diberikan kepada golongan miskin."
almshouse,n. rumah kebajikan; rumah yang diasaskan melalui derma untuk golongan miskin (biasanya orang tua).
aloe,n. pokok lidah buaya; tumbuhan yang mengandungi cecair pahit.
aloft,adv. tinggi; di atas.
alone,a. sendiri; sendirian; bukan dengan orang lain; tanpa teman atau pertolongan. -adv. hanya.
along,"adv. sepanjang; melalui sebahagian atau seluruh bahagian sesuatu; seterusnya; bcrsama; -prep, sebelah- menyebelah. along with bersama dengan; tambahan kepada."
alongside,"adv. sisian; sampingan. -prep, di samping."
aloof,"adv. terasing. -a. tidak menun- jukkan minat; tidak mesra. aloofly adv. secara terasing, aloofness n. pengasingan; pemencilan."
aloud,"adv. dengan kuat (bunyi); dengan suara yang kedengaran, bukan secara berbisik."
alpaca,n. alpaka; llama yang beibulu panjang; bulu alpaka; kain alpaka.
alpha,n. alfa; huruf pertama dalam abjad Yunani (Greek).
alphabet,n. abjad; huruf-huruf yang digunakan apabila menulis dalam sesuatu bahasa. alphabetically adv. mengikut susunan abjad.
alphabetize,v.i. mengabjadkan; menyu- sun mengikut abjad. aplhabetization n. pengabjadan.
Alpine,a. Alp; berkaitan dengan ban- jaran gunung Alp.
alpine,a. pergunungan Alp. -n. pokok yang tumbuh di gunung atau di taman batu.
already,adv. sudah; telah; sebelum waktu ini; seawal ini.
Alsatian,n. anjing Alsatian; sejenis anjing besar yang kuat dan berbulu licin.
also,adv. juga; pun. also-ran n. kuda atau anjing yang gagal mendapat tempat pertama hingga ketiga dalam sesuatu perlumbaan.
altar,n. mazbah.
alter,v.t.i. meminda; mengubah. alteration n. pengubahan.
altercation,n. perbalahan yang bising; pertengkaran.
alternate,a. silih ganti; gilir. alternately adv. menyelang-nyelikan;
alternate,v.t.i. menggilirkan. alternation n. penggiliran.
alternative,a. & n. pilihan; gantian; alternatif. alternatively adv. sebagai pilihan; alternatif.
alternator,n. pengulang-alik; dinamo penghasil arus ulang-alik.
although,conj. walaupun; walau bagai- manapun.
altimeter,n. altimeter; alat mengukur ketinggian.
altitude,a. ahitud; ketinggian daripada paras laut.
alto,n. (jd. -os) nada suara terlinggi bagi lelaki; alat muzik yang mem- punyai nada kedua tertinggi dalam kumpulannya.
altogether,adv. keseluruhan; kesemua. altruism n. altruisme; pemurah; tidak mementingkan diri sendiri.
altruist,"n. altruis; orang yang pemurah. altruistic a. yang mempunyai sikap mengutamakan kesenangan orang lain, altruistically adv. dengan sikap altruisme."
aluminium,n. aluminium; sejenis logam ringan yang wamanya keperakan.
always,adv. sentiasa; selalu.
alyssum,H. sejenis tumbuhan berbunga kecil berwarna putih atau kuning.
Alzheimers,disease n. sejenis penyakit yang menjejaskan fungsi otak.
AM,abbr. amplitude modulation modulasi keluasan.
am,lihat be.
a.m.,abbr. (Latin ante meridien) pagi; sebelum tengah hari.
amalgam,n. logam raksa; campuran lembut yang dapat diolah.
amalgamate,v.t.i. mencampurkan; mencantumkan. amalgamation n. penggabungan; penyatuan; percan- tuman.
amaryllis,n. sejenis tumbuhan seperti teratai.
amass,v.i. mengumpulkan; menim- bunkan.
amateur,n. amatur; orang yang melakukan sesuatu sebagai kegiatan masa lapang bukan sebagai tugas utamanya.
amateurish,a. kurang kepakaran. amateurishly adv. secara amatur.
amatory,a. menunjuk berahi. ghairah. amaze v.t. menghairankan; mengagum- kan. amazement n. kehairanan; kelak- juban; kekaguman.
Amazon,n. amazon; wanita yang tinggi dan kuat. Amazonian n. seperti wanita Amazon.
ambassador,"n. duta; diplomat ber- pangkat paling tinggi yang mewakili negaranya di negara lain, ambassadorial a. berkaitan dengan duta."
amber,n. wama kuning jingga; ambar. sejenis damar; lampu lalu lintas ber- wama kuning yang digunakan sebagai isyarat amaran.
ambergris,"n. ambergris, jisim berlilin yang didapati di laut tropika, digunakan dalam membuat minyak wangi."
ambidextrous,a. dwicekatan; cekap menggunakan kedua-dua belah tangan.
ambience,n. pcrsekitaran.
ambient,a. sekitar.
ambiguous,a. kabur; samar; mempunyai dua atau lebih makna; tidak tentu. ambiguously adv. secara meragukan; secara tidak pasti. ambiguity n. kekaburan; kesamaran.
ambit,n. ruang lingkup; skop.
ambition,n. cila-cita; keinginan yang kuat untuk mencapai sesuatu.
ambitious,a. bercita-cita tinggi; penuh cila-cita. ambitiously ad\. dengan penuh cita-cita.
ambivalent,a. ambivalen; serba salah; rasa berbelah bagi terhadap sesuatu. ambivalence n. ambivalens; perasaan
berbelah,bagi. ambivalently adv. secara ambivalen.
amble,v.i. longlai; berjalan dengan langkah perlahan. ambler n. pejalan bersahaja.
ambrosia,n. santapan dewa; sesuatu yang lazat.
ambulance,n. ambulans; kenderaan yang dilengkapi untuk membawa orang yang sakit atau tercedera.
ambulatory,a. boleh berjalan; untuk berjalan. -n. tempat untuk berjalan.
ambuscade,v.t. & n. serang hendap.
ambush,n. serangan hendap; pasukan tentera. dll. yang bersembunyi untuk melancarkan serangan hendap. -v.t. menyerang hendap.
ameba,n. (A.S.)  amoeba
ameliorate,v.i.v.t. memperbaiki; men- jadikan atau menjadi lebih baik.
amen,int. amin; tunaikanlah; semoga demikianlah.
amenable,a. patuh; taat; sifat mahu menerima alasan; bertolak ansur. amenably adv. dengan patuh; mahu. amenability n. kepatuhan: ketaatan.
amend,v.t. pinda; membuat perubahan kecil. make amends menebus; memampas. amendment n. pindaan; pemindaan.
amenity,n. kemudahan; keselesaan; sifat menarik sesuatu tempat.
American,a. Amerika; keamerikaan; dari Amerika Syarikat. -n. orang Amerika; bahasa Inggeris yang digunakan di Amerika Syarikat.
Americanism,n. Amerikanisme; per- kataan atau frasa Amerika.
Americanize,v.t. mengamerikakan; menjadikan bersifat Amerika. Americanization n. pengamerikaan. amethyst n. ametis; batu kecubung; sejenis permata berwarna ungu.
amiable,a. baik; mesra; disenangi. amiably adv. dengan ramah mesra; dengan baik hati: peramah. amiability n. kelembutan; kebaikan hati.
amicable,a. disenangi. amicably adv. dengan mesra; secara ramah-tamah.
amid,"amidst preps, di tengah; semasa."
amino,acid n. asid amino; asid organik yang terdapat dalam protein.
amiss,a. & adv. salah; silap.
amity,n. persahabatan.
ammeter,n. sejenis alat untuk menyukat arus elektrik.
ammonia,n. ammonia; gas yang kuat baunya; larutan gas ini dalam air.
ammonite,a. ammonit; fosil atau tulang siput putar.
ammunition,"n. peluru, ubat bedil, dsb.; fakta yang digunakan dalam berhujah."
amnesia,n. amnesia; kelupaan. amnesiac a. & n. pesakit amnesia atau yang hilang ingatan.
amnesty,n. amnesti; pengampunan beramai-ramai.
amniocentesis,n. amniosentesis; per- sampelan cecair amnion.
amniotic,fluid n. cecair amnion; cecair yang mengelilingi janin di dalam rahim.
